Authors Information				Technical Background 		Task Related Parameter		Computational Parameter		Empirical Parameter	
Authors	Year of Publication	Titel	Doi	Used input technology	Task description of user study	Measured Parameter	Outcome if not different labled in average +/-SD 	Measured Parameter	Outcome if not different labled in average +/-SD 	Measured Parameter	Outcome if not different labled in average +/-SD 
Alsharif, S., Kuzmicheva, O., and Gräser, A.	2016	Gaze Gesture-Based Human Robot Interface	-	Eye tracking	Two columns were presented Two subtasks were executed. The user should control the robot to grasp the first cube from the first column and put it on the second column behind it (first subtask), then grasp the other cube from the third column and put it on the first one (second subtask).	Task completion time	5,59 min (+/-1,14 min)	-	-	NASA TLX	"Mental Demand: 50 (+/-20)
Physical Demand: 43 (+/- 24)
Temporal Demand: 24 (+/-12,20)
Performance: 19 (+/-13,68)
Effort: 39 (+/-18,24)
Frustration: 19 (+/-16,24)"
						Number of required gestures to complete the task	5 to 24 gestures (+/- 5)	-	-	-	-
Bannat, A., gast, J., Rehrl, T., Rösel, W., Rigoll, G., and Wallhoff, F.	2009	A Multimodal Human-Robot-Interaction Scenario: Working Together with an Industrial Robot	https://doi.org/10.1007/978-3-642-02577-8_33 	Multiple input modalities	No User Study was conducted.	-	-	-	-	-	-
Bien, Z., Kim, D., Chung, M., Kwon, D., and Chang, P.	2003	Development of a wheelchair-based rehabilitation robotic system (KARES II) with various human-robot interaction interfaces for the disabled	https://doi.org/10.1109/AIM.2003.1225462 	Multiple input modalities	No User Study was conducted.	-	-	-	-	-	-
Bien, Z., Chung, M., Chang, P., Kwon, D., Kim, D., Han, J., Kim, J., Kim, D., Park, H., Kang, S., Lee, K., and Lim, S.	2004	Integration of a Rehabilitation Robotic System (KARES II) with Human-Friendly Man-Machine Interaction Units	https://doi.org/10.1023/B:AURO.0000016864.12513.77 	Work comparing different input modalities	The experiment tested the performance of the system in a drinking task.	Success rate	92%	Accuracy for x-y-coordinates (x,y)	34,08 px, 8,86 px (+/-53,78px,+/-50,56px)	Questionnaire not standardized	Satisfaction: >50%
Catalán, J.M., Díez, J.A., Bertomeu-Motos, A., Badesa, F.J., and Garcia-Aracil, N.	2017	Multimodal Control Architecture for Assistive Robotics	http://dx.doi.org/10.1007/978-3-319-46669-9_85 	Eye Tracking	No User Study was conducted.	-	-	-	-	-	-
Cio, Y.L, Raison, M., Leblond Menard, C., and Achiche, S.	2019	Proof of Concept of an Assistive Robotic Arm Control Using Artificial Stereovision and Eye-Tracking	https://doi.org/10.1109/TNSRE.2019.2950619 	Eye tracking	No User Study was conducted.	Success rate	"One object pick up: 92%
One object and one obstacle: 91%
One Object and two obstacles: 98%"	Path planning Time	"One object pick up: 0,43s (+/-0,06s)
One object and one obstacle: 0,41s (+/-0,05s)
One Object and two obstacles: 0,4s (+/-0,04s)"	-	-
						Execution time	"One object pick up: 13,8s (+/-0,4s)
One object and one obstacle: 17,3s (+/-0,0s)
One Object and two obstacles: 18,4s (+/-0,46s)"	-	-	-	-
Di Maio, M., Dondi, P., Lombardi, L., and Porta, M.	2021	Hybrid Manual and Gaze-Based Interaction With a Robotic Arm	https://doi.org/10.1109/ETFA45728.2021.9613371 	Multiple input modalities	The participants were asked to execute joint movemnts by using their gaze.	-	-	-	-	SUS Questionnaire	81,7
Dragomir, A., Pana, C.F., Cojocaru, D., and Manga, L.F.	2021	Human-Machine Interface for Controlling a Light Robotic Arm by Persons with Special Needs	http://dx.doi.org/10.1109/ICCC51557.2021.9454664 	Eye tracking	No User Study was conducted.	-	-	-	-	-	-
Dziemian, S., Abbott, W.W., and Faisal, A.A.	2016	Gaze-based teleprosthetic enables intuitive continuous control of complex robot arm use: Writing & drawing	https://doi.org/10.1109/BIOROB.2016.7523807 	Eye tracking	The task contained tele-writing or painting: Participants were asked to imagine writing a text with the pen and look where the pen would be going. They were asked to write letters as fast and as accurate as possible, with a given letter size template.	Task completion time	"drawing 50 circles, first trial: 301s
drawing 50 circles, second trial: 144s"	-	-	-	-
						Number of active fixations	"drawing 50 circles, first trial: 159
drawing 50 circles, second trial: 101"	-	-	-	-
Huang, Q., Zhang, Z., Yu, T., He, S., and Li, Y.	2019	An EEG-/EOG-Based Hybrid Brain-Computer Interface: Application on Controlling an Integrated Wheelchair Robotic Arm System	https://doi.org/10.3389/fnins.2019.01243 	EOG based approach	The study thested a self-drinking task. Participants were asked to move a wheelchair to a table (EEG), manipulating the robotic arm via EOG to grasp a bottle and drink with a straw, placing the bottle back and navigating back through multiple obstacles and a door.	EOG command generation	1,3s (+/-0,3s)	EOG accuracy	96,2% (+/-1,3%)	-	-
						Number of collisions	"Task 1: 0,6
Task 2: 0,5
Task 3: 0,7"	False-positive rate	1,5 events(+/-1,2 events) 	-	-
Huang, C., and Mutlu, B.	2016	Anticipatory robot control for efficient human-robot collaboration	https://doi.org/10.1109/HRI.2016.7451737 	Multiple input modalities	Participants had to choose a smoothie out of 12 ingredients. The robot system has to anticipate the choices by the eye gaze and grasp the right item and place it infront of the user.	Task completion time	"Selection task reactive: 8,8s (+/-1,26s)
Selection task anticipatory: 6,29s (+/-1,99s)"	Projection accuracy	Selection task anticipatory: 81,25%	Questionnaire not standardized	Participants answered text questions
						-	-	Prediction accuracy	Selection task anticipatory: 55,83%	-	-
						-	-	Response time	"Selection task reactive: 482,71ms (+/-551,33ms)
Selection task anticipatory: 256,41 ms (+/-443,1ms)"	-	-
